"주택유형별","지역별","항목","단위","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월",
"종합","전국","매매가격","","90.51262637","90.40711414","90.26223608","90.07561229","89.93153354","89.81618864","89.73471085","89.69087568","89.70384126","89.80942606","89.98047613","90.32279404","90.57142319","90.87654049","91.36920152","91.61787398","91.74158747","92.11817304","92.68316522","93.12136817","93.51507395","93.81239916","94.31680133","95.16448164","95.91699718","96.77535279","97.4872193","98.17542084","98.86155873","100","100.8527701","101.8232676","102.7556195","103.6644343","104.3169996","104.6169034","104.7193237","104.7501852","104.7681327","104.8296115","104.8440136","104.8372099","104.7582611","104.4590502","103.9498545","103.1485214","101.7361712","99.72380843","98.2335662","97.10790976","96.34640819","95.89740291","95.68618947","95.63459488","95.66082943","95.80974121","96.04961444","96.24235212","96.27707003","96.17770118","96.04017992","95.90192663","95.78683096",
"종합","수도권","매매가격","","87.74846215","87.63217123","87.47696281","87.27409658","87.12506007","87.03722431","87.0240585","87.06226958","87.18273245","87.4211514","87.7294799","88.27335583","88.62141422","89.07232945","89.89800408","90.35916032","90.58558645","91.03367248","91.76941016","92.25112424","92.64970877","92.92428893","93.38275765","94.00129462","94.75738133","95.86519219","96.78463743","97.66885172","98.50787359","100","101.1702357","102.4717309","103.7442288","104.9159351","105.71558","106.0654445","106.1238693","106.0964713","106.0544963","106.0853914","106.0472819","106.000446","105.8472457","105.4214581","104.7424006","103.6747043","101.8386845","99.19405123","97.34777006","96.00644814","95.15108741","94.68880781","94.52167618","94.54965894","94.6926461","94.97693357","95.37360321","95.68197592","95.73493713","95.60443653","95.43055357","95.28577811","95.183774",
"종합","지방","매매가격","","93.11290127","93.01785959","92.88305265","92.71224209","92.57305796","92.43124715","92.28395702","92.16116388","92.07084556","92.04909493","92.08892651","92.23930638","92.39288591","92.55905707","92.73615854","92.78472032","92.81203526","93.12160682","93.52705224","93.92467213","94.31380379","94.63229146","95.17946264","96.24118934","96.99026077","97.61555138","98.13442064","98.64114074","99.18622871","100","100.5706905","101.2486576","101.8822722","102.5613794","103.0858463","103.3422928","103.4829256","103.564452","103.634568","103.7226886","103.7828791","103.8110132","103.7969385","103.6085245","103.2483992","102.6817093","101.644873","100.1984434","99.04322322","98.12180121","97.44958146","97.0133341","96.76033094","96.63327954","96.54899615","96.57006045","96.66228724","96.74644028","96.76404985","96.6938888","96.59099601","96.45899155","96.33147342",
"종합","6대광역시","매매가격","","87.80167179","87.7638324","87.69649791","87.59758311","87.53421743","87.48856837","87.43754759","87.43226721","87.51133899","87.66090843","87.88724592","88.2788439","88.58648968","88.89354867","89.3998526","89.68433009","89.84972072","90.29281862","90.69967806","91.04883953","91.52941614","91.96172019","92.76748192","94.14865099","95.15912194","96.14478878","97.00506813","97.81821373","98.67633407","100","100.8415462","101.7705177","102.638276","103.5379552","104.1504293","104.4261314","104.4809362","104.4781752","104.4195938","104.3943683","104.2898937","104.1676979","103.9895323","103.5273705","102.8114063","101.8100752","100.0431033","97.72723742","96.05765142","94.75385497","93.76231642","93.17735391","92.85030052","92.70833255","92.62899158","92.6725133","92.77148947","92.83647447","92.74864769","92.55865485","92.40539072","92.21911281","92.04940219",
"종합","5대광역시","매매가격","","88.41462693","88.3786049","88.3048782","88.18876962","88.11521009","88.05539659","87.99861988","88.01905538","88.08104268","88.23806032","88.47514528","88.87863075","89.22837514","89.51665682","89.75028892","89.84103382","89.89857546","90.26870374","90.67100023","91.07402263","91.6401455","92.14522862","93.07870396","94.74670377","95.86241429","96.81987668","97.56558244","98.2001908","98.9035055","100","100.6950565","101.4844076","102.1632775","102.8667829","103.3672531","103.5699266","103.6043173","103.5833068","103.5194349","103.4829094","103.3963304","103.2815247","103.1317963","102.735104","102.0769799","101.1794289","99.63070976","97.5911371","95.9861575","94.62453368","93.56501074","92.88619588","92.49334126","92.2930349","92.15172181","92.14566735","92.22088841","92.26758108","92.22107039","92.07220689","91.91616666","91.70313856","91.4998125",
"종합","9개도","매매가격","","91.22050624","91.10143975","90.93602766","90.70283902","90.50536487","90.3334655","90.1940487","90.07863634","90.01536305","90.00650478","90.06429696","90.23823344","90.42159253","90.7562476","91.31056109","91.60727916","91.76958039","92.17044853","92.72605306","93.13829839","93.4909518","93.7527069","94.20927255","94.97924637","95.71792117","96.62492459","97.3688408","98.10457951","98.80478137","100","100.9433651","102.030759","103.0667611","104.0470419","104.7596578","105.1059983","105.2597882","105.3349234","105.4041592","105.519014","105.5851668","105.6385403","105.6148505","105.3850198","104.9733412","104.2796771","103.0262557","101.1796282","99.72773194","98.60169976","97.86798963","97.43123027","97.22585507","97.17647949","97.20908707","97.36627195","97.65118265","97.8918193","97.96809772","97.90464552","97.77002013","97.64989558","97.53965449",
"종합","8개도","매매가격","","96.85940679","96.72109446","96.54284531","96.34028335","96.15620671","95.96003613","95.74971217","95.52305154","95.32191259","95.17088233","95.07166824","95.03186868","95.01615283","95.06183073","95.11893367","95.10888872","95.10963469","95.34179423","95.65054741","95.89946042","96.09817931","96.2671473","96.54571392","97.2061568","97.70961923","98.11110113","98.47780015","98.90213251","99.35094368","100","100.5111699","101.1413585","101.7636647","102.4458322","103.011741","103.3460541","103.5716383","103.7285611","103.8959623","104.073241","104.2351492","104.3661413","104.4488064","104.406776","104.2523564","103.9097264","103.2185631","102.2228325","101.4359346","100.854097","100.4275483","100.1268712","99.93889732","99.83896158","99.77662395","99.80918032","99.90626037","100.015766","100.076755","100.0649225","100.0044522","99.94898515","99.89743122",
"종합","서울","매매가격","","93.4033521","93.22992479","93.02607024","92.8607583","92.7631572","92.72795435","92.79219973","92.92097335","93.07751561","93.49059427","93.95361673","94.76396709","95.08272835","95.22367649","95.34956879","95.33097689","95.24934147","95.37277817","96.05322304","96.45979821","96.72259537","96.87786929","97.04028414","97.29401125","97.67921467","98.17517319","98.54939084","98.89503353","99.28601155","100","100.6039018","101.2918967","102.01645","102.7431428","103.3129946","103.584352","103.6256888","103.5831374","103.5744934","103.6139953","103.6579033","103.6542275","103.5654855","103.314026","102.8313308","102.0035175","100.6398362","98.66356733","97.43215863","96.65150347","96.12405627","95.79494975","95.69405907","95.73964334","95.88006285","96.16104856","96.47073297","96.71329873","96.80564336","96.73855944","96.6247852","96.53919646","96.53684705",
"종합","강북권역","매매가격","","93.27428988","93.20358316","93.08777615","92.9882979","92.92366183","92.8970167","92.94899694","93.0819702","93.24791369","93.58757342","93.94690664","94.38806211","94.66279256","94.88616486","95.10142214","95.18134467","95.17282213","95.28409807","95.9620771","96.41351988","96.72286514","96.92036449","97.12167201","97.40083119","97.72755201","98.25495243","98.6318593","98.9794993","99.35595822","100","100.6112436","101.3068247","101.9312102","102.5859945","103.1058101","103.3132043","103.3132486","103.2527023","103.2211577","103.2486192","103.2871964","103.2790651","103.1317924","102.800653","102.262153","101.4515237","100.0410906","97.73493457","96.42201581","95.72813805","95.18057616","94.81830066","94.63607449","94.58322245","94.66353531","94.8796837","95.14303121","95.33420236","95.41348717","95.35761083","95.26696834","95.17401678","95.16517065",
"종합","도심권","매매가격","","94.49222155","94.41372238","94.34515735","94.28642046","94.25134965","94.24459832","94.32417812","94.46098222","94.66215101","95.04640769","95.42462596","95.9171329","96.18894742","96.35684704","96.5102416","96.52460162","96.50115685","96.61284393","97.05945782","97.40093883","97.66513536","97.82188904","98.00759558","98.25584564","98.52044609","98.89265018","99.13485781","99.36511924","99.60192785","100","100.4022369","100.9885185","101.5815499","102.3404191","102.9953511","103.2747631","103.2810154","103.2323355","103.2481877","103.3606582","103.4805788","103.5389147","103.5246263","103.3704834","102.9792173","102.3288731","101.4429751","99.95055288","98.92851444","98.39581508","97.97948611","97.74170078","97.63612683","97.61207991","97.71287254","97.97009188","98.31311264","98.62147247","98.824293","98.86296175","98.84957592","98.84322958","98.90382741",
"종합","종로","매매가격","","95.39876414","95.38934659","95.38035258","95.36493331","95.34692227","95.3388752","95.36565356","95.4540078","95.61326891","95.84363672","96.05224504","96.56133654","96.83710777","97.00697823","97.13381156","97.13660989","97.1211803","97.20881219","97.56772806","97.84329029","98.09121127","98.26556356","98.46095874","98.69451405","98.90236599","99.13969026","99.33949454","99.54940527","99.73006786","100","100.3582557","100.9419443","101.4676699","102.0696106","102.5668359","102.8169242","102.8043439","102.6864008","102.663392","102.7585257","102.8594138","102.9127714","102.8972883","102.718157","102.2922859","101.8519796","101.1733295","100.1914471","99.4096108","98.97642719","98.64479389","98.33707465","98.06313592","97.96823176","98.00439355","98.10348894","98.32258925","98.53396749","98.70406914","98.75307747","98.74434697","98.73840835","98.78440874",
"종합","중","매매가격","","94.74505691","94.63790706","94.50819026","94.43984003","94.37729949","94.37478759","94.43385341","94.58808065","94.79255073","95.31572655","95.65266758","96.0122107","96.19484209","96.28821721","96.42539338","96.42465545","96.40922121","96.48799016","96.97466377","97.32782044","97.5907019","97.7653251","97.96343139","98.22665496","98.47968234","98.90506803","99.13987995","99.36569291","99.56641473","100","100.3322105","100.8190113","101.3140731","101.9694824","102.5124553","102.6509032","102.6273997","102.6050093","102.5696903","102.6184499","102.6430814","102.6307454","102.4837719","102.0772159","101.4466273","100.6013648","99.33348187","96.86338016","95.47343014","94.70928849","94.15853891","93.76022718","93.6051307","93.44676115","93.49972997","93.70735054","94.07662258","94.35312838","94.4712778","94.47825618","94.45075401","94.4289116","94.46544405",
